variable_name,form_name,field_label,field_type,value_encoding,n_codes,cde_concept_name,cde_vocabulary,cde_concept_code,cde_domain,mapping_confidence
mhterm_predm,screening_survey,Pre-diabetes,yesno,,,Prediabetes,SNOMED,714628002,Condition,1
pxne9,px_neighborhood_environment_survey,"I see many people being physically active in my neighborhood doing things like walking, jogging, cycling, or playing sports and active games. Would you say that you...",radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree,4,,PhenX,,,
dietscore,dietary_survey,Diet score,calc,,,Dietary intake assessment,SNOMED,225388007,Procedure,0.5
pxhic1,px_sdoh_combined_survey,Insurance through a current or former employer or union (of yours or another family member's). This would include COBRA coverage.,radio,1=Covered|0=Not Covered|999=Not Sure|777=Prefer not to say,4,PhenX - health insurance coverage protocol 011501,LOINC,63066-5,Measurement,0.5
dietstartts,dietary_survey,Dietary Survey Start Timestamp (from REDCap),text,,,Time to complete survey,LOINC,99423-6,Observation,0.5
pxhic2,px_sdoh_combined_survey,"Insurance purchased directly from an insurance company (by you or another family member). This would include coverage purchased through an exchange or marketplace, such as HealthCare.gov",radio,1=Covered|0=Not Covered|999=Not Sure|777=Prefer not to say,4,PhenX - health insurance coverage protocol 011501,LOINC,63066-5,Measurement,0.5
food_insecurity_change_diet_frequency,px_food_insecurity_survey,"How often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?",radio,1=Almost every month|2=Some months but not every month|3=Only 1 or 2 months|555=Don't know|777=Prefer not to say,5,"In the last 12 months, how often did you cut the size of your meals or skip meals because there wasn't enough money for food [U.S. FSS]",LOINC,95250-7,Observation,1
pxhic7,px_sdoh_combined_survey,Any other type of health insurance coverage or health coverage plan,radio,1=Covered|0=Not Covered|999=Not Sure|777=Prefer not to say,4,PhenX - health insurance coverage protocol 011501,LOINC,63066-5,Measurement,0.5
pxhic8,px_sdoh_combined_survey,"Does this mean you currently have no health insurance or health coverage plan? In answering this question, please exclude plans that pay for only one type of service (such as, nursing home care, accidents, family planning, or dental care) and plans that only provide extra cash when hospitalized).",radio,0=I do NOT have health insurance|1=I HAVE some kind of health insurance|777=Prefer not to say,3,PhenX - health insurance coverage protocol 011501,LOINC,63066-5,Measurement,0.5
age,recruitment_survey_management,Age,calc,,,Age,SNOMED,397669002,Observation,1
rtsm_odm,retinal_imaging_v2,Eidon-Create Mosaic Image-CFP,yesno,,,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",LOINC,LA20770-6,Meas Value,0.5
rtsm_osm,retinal_imaging_v2,Eidon- Create Mosaic Image-CFP,yesno,,,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",LOINC,LA20770-6,Meas Value,0.5
cmtrt_a1c,screening_survey,"Do you take pills to control your A1C and blood glucose levels? Examples: Metformin (Glucophage, Glumetza, Fortamet, Riomet), Glucotrol, Amaryl, DiaBeta, Blynase PresTab, Micronase, Actos, Avandia, Precose, Glyset, Prandin, Starlix, Januvia, Onglyza, Tradjenta, Nesina, Invokana, Farxiga, Jardiance, Welchol, and Cyclocet",radio,1=Yes|0=No,2,Diabetic on oral treatment,SNOMED,170746002,Observation,1
cmtrt_lfst,screening_survey,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",yesno,,,Able to modify behavior and lifestyle to support health improvement,SNOMED,1148971005,Condition,0.75
mh_dm_age,screening_survey,"If yes, at what age were you first diagnosed?",text,,,Age at diagnosis,SNOMED,423493009,Observation,0.75
lbfrz,specimen_management,"Were serum, plasma, blood, and urine samples placed in -80C storage?",yesno,,,Test protocol used,SNOMED,246423001,Observation,0.5
sualcage,substance_use_survey,At what age did you start drinking alcohol? (Age started - years old),dropdown,98=More than 60 years old|999=Prefer not to say,2,At which age did you start smoking [PhenX],LOINC,67740-1,Observation,1
subrdosfr,substance_use_survey,"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",dropdown,0=Less than 1|22=22 to 28|29=29 to 35|36=36 or more|999=Prefer not to say,5,Details of alcohol drinking behavior,SNOMED,363905002,Observation,0.25
sulqdosfr,substance_use_survey,"During the average week, how many 1.5 oz. of liquor do you usually drink, either as shots or in mixed cocktails? (Number of drinks per week)",dropdown,0=Less than 1|22=22 to 28|29=29 to 35|36=36 or more|777=Prefer not to say,5,Details of alcohol drinking behavior,SNOMED,363905002,Observation,0.25
sumrjstage,substance_use_survey,At what age did you start using marijuana? (Age started - years old),dropdown,98=More than 60 years old|999=Prefer not to say,2,Age when first used marijuana,LOINC,91384-8,Observation,1
susmkdosfr,substance_use_survey,On average how many cigarettes do/did you usually smoke in a day? (Number of cigarettes | 20 cigarettes = 1 pack),dropdown,21=21-30 (up to 1.5 packs)|31=31-40 (up to 2 packs)|41=41-50 (up to 2.5 packs)|51=More than 50 (3 or more packs)|999=Prefer not to say,5,How many of these do you smoke per day [#] [PhenX],LOINC,66548-9,Observation,1
susmkstaage,substance_use_survey,At what age did you start smoking? (Age started - years old),dropdown,98=More than 60 years old|999=Prefer not to say,2,At which age did you start smoking [PhenX],LOINC,67740-1,Observation,1
susmkstoage,substance_use_survey,How many total years have you smoked?,dropdown,98=More than 60 years old|999=Prefer not to say,2,Tobacco use duration,LOINC,88029-4,Observation,0.5
