Survey,Version,Item Concept,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Field Annotation,Generalized Answer Codes,Registered Tier Rules,Controlled Tier Rules
Family Health History,,cancercondition_braincancer_yes,family_health_history,,checkbox,Who in your family has had brain cancer? Select all that apply.,"MotherCancerCondition_BrainCancer, Mother | FatherCancerCondition_BrainCancer, Father | SiblingCancerCondition_BrainCancer, Sibling | DaughterCancerCondition_BrainCancer, Daughter | SonCancerCondition_BrainCancer, Son | GrandparentCancerCondition_BrainCancer, Grandparent",,,,[diagnosedhealthcondition_cancercondition(CancerCondition_BrainCancer)] = '1',,,,,,
Personal Medical History,,mentalhealth_rxmedsfordepression,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for depression?,"RxMedsforDepression_Yes, Yes | RxMedsforDepression_No, No",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_Depression)] = '1',,,,,,
COPE,"May, June, July",gad_7_1,covid19_participant_experience_cope_survey,"Anxiety
 
 The next questions ask about worrying.",radio,"In the past 2 weeks, how often have you been bothered by the following problem?
 Feeling nervous, anxious, or on edge","COPE_A_168, Not at all | COPE_A_111, Several days | COPE_A_75, More than half the days | COPE_A_161, Nearly every day",,,,,,LV,,,,
Personal Medical History,,mentalhealth_othermentalhealthsubstanceusecurrently,personal_medical_history,,radio,Are you still seeing a doctor or health care provider for other mental health or substance use condition?,"OtherMentalHealthSubstanceUseCurrently_Yes, Yes | OtherMentalHealthSubstanceUseCurrently_No, No",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_OtherMentalHealthSubstanceUse)] = '1',,,mentalhealth_othermentalhealthsubstanceusecurrently=MentalHealth_OtherConditionCurrently,,,
Personal Medical History,,respiratory_rxmedsforsleepapnea,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for sleep apnea?,"RxMedsforSleepApnea_Yes, Yes | RxMedsforSleepApnea_No, No",,,,[respiratory_respiratoryconditions(RespiratoryConditions_SleepApnea)] = '1',,,,,,
Social Determinants of Health,,ips_2,social_determinants_of_health_english,,radio,"Many shops, stores, markets or other places to buy things I need are within easy walking distance of my home. Would you say that you...","SDOH_5, Strongly disagree | SDOH_6, Somewhat disagree | SDOH_7, Somewhat agree | SDOH_1, Strongly agree | PMI_DontKnow, Don't know/Not sure",,,,,,,,,,
Personal Medical History,,circulatory_rxmedsforpulmonaryembolism,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for pulmonary embolism or deep vein thrombosis?,"RxMedsforPulmonaryEmbolism_Yes, Yes | RxMedsforPulmonaryEmbolism_No, No",,,,[circulatory_circulatoryconditions(CirculatoryConditions_PulmonaryEmbolism)] = '1',,,,,,
Personal Medical History,,infectiousdiseases_stiscurrently,personal_medical_history,,radio,"Are you still seeing a doctor or health care provider for sexually transmitted infections (Gonorrhea, Syphilis, Chlamydia)?","STIsCurrently_Yes, Yes | STIsCurrently_No, No",,,,[infectiousdiseases_infectiousdiseasecondition(InfectiousDiseaseCondition_SexuallyTransmittedInfections)] = '1',,,,,,
Lifestyle,,smoking_dailysmokestartingagenumber,lifestyle,,text,Age:,,integer,1,99,[smoking_dailysmokestartingage] = 'smoking_dailysmokestartingage_enterage',,LV,smoking_dailysmokestartingagenumber=smoking_dailysmokestartingage,,,
Basics,,employmentworkaddress_state,the_basics,,dropdown,State,"State_AL, Alabama | State_AK, Alaska | State_AZ, Arizona | State_AR, Arkansas | State_CA, California | State_CO, Colorado | State_CT, Connecticut | State_DE, Delaware | State_FL, Florida | State_GA, Georgia | State_HI, Hawaii | State_ID, Idaho | State_IL, Illinois | State_IN, Indiana | State_IA, Iowa | State_KS, Kansas | State_KY, Kentucky | State_LA, Louisiana | State_ME, Maine | State_MD, Maryland | State_MA, Massachusetts | State_MI, Michigan | State_MN, Minnesota | State_MS, Mississippi | State_MO, Missouri | State_MT, Montana | State_NE, Nebraska | State_NV, Nevada | State_NH, New Hampshire | State_NJ, New Jersey | State_NM, New Mexico | State_NY, New York | State_NC, North Carolina | State_ND, North Dakota | State_OH, Ohio | State_OK, Oklahoma | State_OR, Oregon | State_PA, Pennsylvania | State_RI, Rhode Island | State_SC, South Carolina | State_SD, South Dakota | State_TN, Tennessee | State_TX, Texas | State_UT, Utah | State_VT, Vermont | State_VA, Virginia | State_WA, Washington | State_WV, West Virginia | State_WI, Wisconsin | State_WY, Wyoming | State_DC, District of Columbia",,,,[employment_employmentworkaddress] = 'employment_employmentworkaddress',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Lifestyle,,smoking_numberofyearsnumber,lifestyle,,text,Number of years:,,integer,1,99,[smoking_numberofyears] = 'smoking_numberofyears_enteryears',,LV,smoking_numberofyearsnumber=smoking_numberofyears,,,
Personal Medical History,,mentalhealth_howoldwereyoualcoholdisorder,personal_medical_history,,radio,About how old were you when you were first told you had alcohol use disorder?,"HowOldWereYouAlcoholDisorder_Child, Child (0-11) | HowOldWereYouAlcoholDisorder_Adolescent, Adolescent (12-17) | HowOldWereYouAlcoholDisorder_Adult, Adult (18-64) | HowOldWereYouAlcoholDisorder_OlderAdult, Older adult (65-74) | HowOldWereYouAlcoholDisorder_Elderly, Elderly (75+)",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_AlcoholUse)] = '1',,,,,,
Personal Medical History,,endocrine_rxmedsforprediabetes,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for prediabetes?,"RxMedsforPrediabetes_Yes, Yes | RxMedsforPrediabetes_No, No",,,,[endocrine_endocrineconditions(EndocrineConditions_PreDiabetes)] = '1',,,,,,
Family Health History,,circulatorycondition_heartvalvedisease_yes,family_health_history,,checkbox,Who in your family has had heart valve disease? Select all that apply.,"MotherCirculatoryCondition_HeartValveDisease, Mother | FatherCirculatoryCondition_HeartValveDisease, Father | SiblingCirculatoryCondition_HeartValveDisease, Sibling | DaughterCirculatoryCondition_HeartValveDisease, Daughter | SonCirculatoryCondition_HeartValveDisease, Son | GrandparentCirculatoryCondition_HeartValveDisease, Grandparent",,,,[diagnosedhealthcondition_circulatorycondition(CirculatoryCondition_HeartValveDisease)] = '1',,,,,,
